Artists,Name,Date,Genre,Writing.Credits,Features
"Jennifer Hudson, Ne",Think Like A Man,13-Jan-12,"R&;B,Rap","Courtney harrell, Al sherrod lambert, Eric bellinger, Rick ross, Ne yo",
Christina Perri,A Thousand Years,18-Oct-11,"Screen,Pop,Soundtrack","Christina perri, David hodges",
Bruno Mars,It Will Rain,27-Sep-11,"Screen,Pop,Soundtrack","Bruno mars, Philip lawrence, Ari levine",
J. Cole,Can't Get Enough,1-Sep-11,"DMV,R&;B,Rap","Trey songz, J cole",Trey Songz
Juliet Simms,Roxanne,,Pop,,
Trey Songz,Sex Ain't Better Than Love,28-Nov-11,R&;B,Trey songz,
K'Naan,Is Anybody Out There?,24-Jan-12,Rap,"Melanie fiona, Hasham hussain, Denarius motes, Edwin lil eddie serrano, Nelly furtado, Knaan",Nelly Furtado
Montgomery Gentry,Where I Come From,,Country,,
Lil Wayne,Mirror,29-Aug-11,Rap,"Bruno mars, Lil wayne",Bruno Mars
Glee Cast,Hungry Like The Wolf / Rio,10-Apr-12,Pop,"Simon le bon, John taylor, Roger taylor, Andy taylor, Nick rhodes",
Keith Urban,You Gonna Fly,,"Country,Rock","Jaren johnston, Cris lucas, Preston brust",
Gavin DeGraw,Not Over You,17-May-11,"Pop,Pop-Rock,Blue-Eyed Soul,Rock","Gavin degraw, Ryan tedder",
T.I.,Love This Life,18-Dec-12,Rap,"Ti, 1500 or nothin",
LMFAO,Sorry For Party Rocking,17-Jan-12,Rap,"8ky, Erin beck, Redfoo",
Coldplay,Princess Of China,19-Oct-11,"Alternative Pop,Alternative Rock,Alternative,UK,Pop-Rock,Rock","Chris martin, Will champion, Jonny buckland, Guy berryman",Rihanna
Shinedown,Bully,9-Feb-08,Rock,"Brent smith, Dave bassett, Zach myers",
Adele,Someone Like You,24-Jan-11,"Easy Listening,Soul Pop,Adult Alternative,Adult Contemporary,Ballad,Piano,Pop,Soul","Dan wilson, Adele",
Adele,Rolling In The Deep,29-Nov-10,"Pop,Blues,Adult Alternative,Adult Contemporary,Blue-Eyed Soul,Soul","Paul epworth, Adele",
Beyonce,Love On Top,12-Sep-11,"R&;B,Pop","The dream, Shea taylor, Beyonce",
Avicii,Levels,28-Jul-11,"Pop,Electronic","Arash pournouri, Avicii, Pearl woods, Leroy kirkland, Etta james",
Sean Paul,She Doesn't Mind,31-Oct-11,"Jamaica,Pop,Dancehall","Benny blanco, Shellback, J henriques, Sean paul",
Diggy,Do It Like You,,Rap,"Jeremih, Doe, Diggy",Jeremih
George Strait,Love's Gonna Make It Alright,,"Country,Rock","Chris stapleton, Al anderson",
Madonna,Give Me All Your Luvin',3-Feb-12,Pop,"Michael tordjman, Mia, Nicki minaj, Martin solveig, Madonna","Nicki Minaj, M.I.A."
Young Jeezy,I Do,10-Jan-12,Rap,"Jeezy, Jay z, Andre 3000",Jay
Mary J. Blige,Mr. Wrong,28-Oct-11,"Soul,R&;B,Rap","Daniel morris, C gilbert, Rico love, Drake, Jim jonsin",Drake
"Dev, Enrique Iglesias",Naked,20-Dec-11,"Dance,Pop","Campa, Kshmr",
Taylor Swift,Ours,25-Oct-10,"Country,Pop",Taylor swift,
Katy Perry,The One That Got Away,24-Aug-10,"Bubblegum Pop,Dance-Pop,Pop","Dr luke, Max martin, Katy perry",
David Guetta,Without You,26-Aug-11,"Electro-Pop,Electronic,Dance,R&;B,Pop","Frederic riesterer, Giorgio tuinfort, David guetta, Rico love, Taio cruz, Usher",Usher
Dierks Bentley,Home,3-Feb-12,"Country,Rock",,
Maroon 5,Come Away To The Water,16-Mar-12,"Screen,Soundtrack,Pop",,Rozzi Crane
Rihanna,You Da One,14-Nov-11,"R&;B,Pop","John hill, Cirkut, Dr luke, Ester dean, Rihanna",
The Black Keys,Lonely Boy,26-Oct-11,Rock,"Danger mouse, Patrick carney, Dan auerbach",
Kenny Chesney,Reality,3-Oct-11,"Country,Rock","Brett james, Kenny chesney",
Bella Thorne,TTYLXOX,6-Mar-12,"Soundtrack,Dance,Dance-Pop,Pop,Rap","Chen neeman, Aris archontis, Jeannie lurie",
Big Sean,Dance,28-Jun-11,Rap,"Alonzo miller, Rick james, Mc hammer, Big sean, Nicki minaj, Da internz",Nicki Minaj
Florence + The Machine,Shake It Out,14-Sep-11,"Alternative Pop,Alternative,Alternative Rock,Pop,Rock","Florence welch, Paul epworth",
Jay Z Kanye West,Gotta Have It,6-Dec-11,"Rap,Producer","Tony pinckney, Fred wesley, Joseph roach, Pharrell williams, Jay z, Kanye west",
Breathe Carolina,Blackout,13-Jun-11,"Pop,House,Electronic Rock,Electronic,Dance-Pop,Synth-Pop","Simon wilcox, Ian kirkpatrick, Kyle even, David schmitt",
"Selena Gomez, The Scene",Love You Like A Love Song,17-Jun-11,"Eurodance,Dance-Pop,Electro-Pop,Pop","Antonina armato, Tim james, Adam schmalholz",
J. Cole,Work Out,15-Jun-11,"R&;B,East Coast,Rap","Elliot wolff, John legend, Bosco a kante, Miri ben ari, Sumeke rainey, Kanye west, J cole",
Wale,Lotus Flower Bomb,11-Oct-11,"DMV,R&;B,Rap","Roscoe dash, Miguel, Wale",Miguel
Toby Keith,Red Solo Cup,10-Oct-11,"Country,Rock","Jim beavers, Brett beavers, Brad warren, Brett warren",
Scotty McCreery,The Trouble With Girls,4-Oct-11,"Country,Rock",,
Young The Giant,Cough Syrup,12-Jul-11,"Alternative,Adult Alternative,Alternative Rock,Indie Rock,Rock","Jacob tilley, Francois comtois, Eric cannata, Ehson hashemian, Sameer gadhia",
Luke Bryan,I Don't Want This Night To End,5-Sep-11,"Country,Rock","Ben hayslip, Rhett akins, Dallas davidson, Luke bryan",
Chris Young,You,12-Jul-11,Country,"Luke laird, Chris young",
Nicki Minaj,Roman Reloaded,24-Feb-12,Rap,"Lil wayne, Ricardo lamarre, Nicki minaj",Lil Wayne
Wiz Khalifa,When I'm Gone,29-Mar-11,Rap,"Wiz khalifa, Big jerm, Eric dan",
Tyga,Make It Nasty,2-May-12,Rap,Tyga,
Estelle,Thank You,4-Oct-11,"R&;B,Rap","Akon, Thomas david richardson, Douglas fraser edwards, Jerry duplessis, Akene dunkley, Arden altino",
Whitney Houston,I Will Always Love You,,"Cover,Soundtrack,Pop,Soul Pop,Soul,R&;B",Dolly parton,
Gym Class Heroes,Stereo Hearts,30-May-11,"R&;B,Pop-Rock,Pop,Rap","Dan omelio, Ammar malik, Sterling fox, Benny blanco, Adam levine, Travie mccoy",Adam Levine
Drake,Make Me Proud,16-Oct-11,"Canada,Rap","Nikhil seetharam, T minus, Nicki minaj, Drake",Nicki Minaj
Glee Cast,Fly / I Believe I Can Fly,21-Feb-12,"Screen,Soundtrack,Pop","R kelly, Nicki minaj",
Glee Cast,Cough Syrup,21-Feb-12,"Cover,Screen,Soundtrack,Pop","Young the giant, Ehson hashemian",
Glee Cast,What Doesn't Kill You,,Pop,,
Glee Cast,Here's To Us,21-Feb-12,Pop,"Lzzy hale, Danielle brisebois, Toby gad",
Glee Cast,Glad You Came,21-Feb-12,Pop,"Steve mac, Wayne hector, Ed drewett",
Whitney Houston,I Wanna Dance With Somebody,,"Dance,Pop,R&;B","Shannon rubicam, George merrill",
Whitney Houston,Greatest Love Of All,,R&;B,"Michael masser, Linda creed",
Hot Chelle Rae,I Like It Like That,3-Oct-11,"Dance-Pop,Alternative Rock,Pop-Rock,Pop,Rock","Frnd, Ryan follese, Nash overstreet, Dan book, Alexei misoul, Emanuel kiriakou, Evan bogart, Lindy robbins, Earl benjamin, Dominic thomas",New Boyz
Lady Antebellum,Just A Kiss,2-May-11,Country,"Dallas davidson, Dave haywood, Charles kelley, Hillary scott",
Whitney Houston,How Will I Know,,"Dance-Pop,R&;B","Narada michael walden, Shannon rubicam, George merrill",
Bruno Mars,Runaway Baby,4-Oct-10,"Rock,Pop","Brody brown, Bruno mars, The smeezingtons",
The Fray,Heartbeat,11-Oct-11,"Pop,Rock","Joe king, Isaac slade",
Martina McBride,I'm Gonna Love You Through It,11-Oct-11,Country,,
Meek Mill,Ima Boss,9-Nov-11,"Remix,Trap,Rap","Jahlil beats, Birdman, Lil wayne, Rick ross, Ti, Meek mill","T.I., Birdman, Lil Wayne, DJ Khaled, Rick Ross, Swizz"
Nicki Minaj,Stupid Hoe,20-Dec-11,"Electro,Experimental,Hyphy,Bounce,Hip-Hop,Beef,Rap","Tina dunham, Nicki minaj",
Glee Cast,I Will Always Love You,14-Feb-12,Pop,Dolly parton,
Glee Cast,Stereo Hearts,14-Feb-12,Pop,,
Jay Z Kanye West,No Church In The Wild,8-Aug-11,"Rap,Producer","88 keys, Gary wright, Phil manzanera, Mike dean, J roach, J brown, The dream, Frank ocean, Jay z, Kanye west",Frank Ocean
deadmau5,Raise Your Weapon,6-Dec-10,"Dubstep,House,Progressive House,Electronic,Pop","Skrillex, Deadmau5, Cydney sheffield",Greta Svabo Bech
The Band Perry,All Your Life,8-Aug-11,"Country,Rock","Clara henningsen, Brian henningsen",
Kelly Clarkson,Mr. Know It All,30-Aug-11,Pop,"Ester dean, Dante jones, Brian kennedy, Brett james",
Zac Brown Band,Keep Me In Mind,20-Sep-10,"Country,Rock","Wyatt durrette, Nic cowan, Zac brown",
Glee Cast,Sexy And I Know It,28-Aug-12,Pop,"Listenbee, Kenneth oliver, George m robertson, Erin beck, Redfoo",Ricky Martin
T,5 O'Clock,27-Sep-11,"R&;B,Rap","T pain, Wiz khalifa, Lily allen, Gary barlow, Greg kurstin, Howard donald, Jason orange, Mark owen, Stephen robson",
B.o.B,Strange Clouds,1-May-12,Rap,"Bob, Lil wayne, Cirkut, Dr luke, Playboy tre, Jamieson xavier jones, Stephen joshua hill",Lil Wayne
Rick Ross,You The Boss,7-Oct-11,Rap,"Ke on the track, Nicki minaj, Rick ross, Lil wayne",Nicki Minaj
Waka Flocka Flame,Round Of Applause,14-Oct-11,Rap,"Waka flocka flame, Drake",Drake
Glee Cast,La Isla Bonita,28-Aug-12,Pop,,Ricky Martin
Colbie Caillat,Brighter Than The Sun,,Rock,"Ryan tedder, Colbie caillat",
Pitbull,Give Me Everything,18-Mar-11,"R&;B,Electro-Pop,Pop,Rap","Afrojack, Ne yo, Pitbull",Ne
Eric Church,Drink In My Hand,15-Aug-11,"Country,Rock","Luke laird, Michael p heeney, Eric church",
Glee Cast,Human Nature,31-Jan-12,Pop,"Steve porcaro, John bettis",
Glee Cast,Black Or White,31-Jan-12,"Screen,Soundtrack,Pop","Michael jackson, Bill bottrell",
Glee Cast,Wanna Be Startin' Somethin',28-Aug-12,Pop,,
Glee Cast,Bad,31-Jan-12,"Cover,Screen,Soundtrack,Pop",Michael jackson,
Jason Aldean,Tattoos On This Town,5-Sep-11,"Country,Rock","Michael dulaney, Wendell mobley, Neil thrasher",
Justin Moore,Bait A Hook,21-Jun-11,"Country,Rock","Justin moore, Jeremy stover, Rhett akins",
Hunter Hayes,Storm Warning,16-May-11,"Country,Rock","Busbee, Gordie sampson, Hunter hayes",
Beyonce,Party,30-Aug-11,"R&;B,Pop","Consequence, Andre 3000, Slick rick, Doug e fresh, Beyonce, Jeff bhasker, Kanye west",Andre 3000
Drake,Headlines,9-Aug-11,"Canada,Rap","40, Boi 1da, Drake",
Foster The People,Pumped Up Kicks,14-Oct-10,"Indie Rock,Adult Alternative,Memes,Electronic Rock,Electro-Pop,Electronic,Pop-Rock,Pop,Alternative Pop,Alternative,Alternative Rock,Rock",Mark foster,
David Nail,Let It Rain,7-Feb-11,Pop,"Jonathan singleton, David nail",Sarah Buxton
Beyonce,Countdown,4-Oct-11,"R&;B,Pop","Lamb, Ester dean, Shea taylor, The dream, Beyonce, Wanya morris, Nathan morris, Michael bivins, Julie frost",
Lady Gaga,Marry The Night,15-Nov-11,"Techno,Electronic Rock,Dance-Pop,Electronic,Electro-Pop,Synth-Pop,Pop","Lady gaga, Fernando garibay",
Skrillex,Kyoto,21-Dec-10,"Dance,Dubstep,Rock","Sirah, Skrillex",Sirah
Brad Paisley,Camouflage,23-May-11,"Country,Rock","Brad paisley, Kelley lovelace, Chris dubois",
Glee Cast,Without You,,Pop,"Frederic riesterer, Giorgio tuinfort, Rico love, David guetta, Taio cruz, Usher",
Nicki Minaj,Super Bass,5-Apr-11,"Pop,Rap","Kane beatz, Ester dean, Nicki minaj",
Glee Cast,We Found Love,,Pop,,
Glee Cast,Moves Like Jagger / Jumpin' Jack Flash,,Pop,,
Glee Cast,The First Time Ever I Saw Your Face,,Pop,,
Edens Edge,Amen,,Pop,"Gerald obrien, Catt gravitt, Hannah louise blaylock, Skip black",
Glee Cast,Summer Nights,5-Nov-12,Pop,"Warren casey, Jim jacobs",
Van Halen,Tattoo,,Rock,,
Snow Patrol,Called Out In The Dark,2-Sep-11,Rock,,
Lana Del Rey,Video Games,7-Oct-11,"Ballad,Baroque Pop,Indie Pop,Pop","Lana del rey, Justin parker",
Nelly,The Champ,,Rap,,
Avril Lavigne,Wish You Were Here,8-Mar-11,"Pop-Rock,Canada,Pop","Avril lavigne, Max martin, Shellback",
Nickelback,When We Stand Together,,Rock,"Ryan peake, Mike kroeger, Joey moi, Chad kroeger",
Daughtry,Crawling Back To You,3-Oct-11,Rock,"Marti frederiksen, Chris daughtry",
Jason Derulo,It Girl,9-Aug-11,"Pop,R&;B","Evan bogart, Jason derulo, Emanuel kiriakou, Lindy robbins",
Lil Wayne,She Will,16-Aug-11,Rap,"T minus, Lil wayne, Drake",Drake
Nicki Minaj,Fly,30-Aug-11,"R&;B,Rap","Clemm rishad, Jr rotem, William jordan, Nicki minaj, Kevin hissink",Rihanna
3OH!3,Set You Free,27-Dec-11,Pop,"Sean foreman, Nathaniel motte",
Wale,That Way,1-Nov-11,Rap,"Jeremih, Rick ross, Wale","Jeremih, Rick Ross"
B.o.B,Play The Guitar,27-Dec-11,Rap,"Ti, Henry zant, Salaam remi, Aubrey johnson, Bo diddley, Avery chambliss, Andre 3000, Playboy tre, Bob",Andre 3000
Blake Shelton,God Gave Me You,,"Country,Rock",Dave barnes,
Rascal Flatts,Easy,27-Jun-11,"Country,Rock","Mike mobley, Katrina elam",Natasha Bedingfield
Justin Bieber,Mistletoe,17-Oct-11,"Holiday,Christmas,Canada,Pop","Justin bieber, Adam messinger, Nasri atweh",
Lady Antebellum,We Owned The Night,15-Aug-11,Country,"Dallas davidson, Dave haywood, Charles kelley",
Lil Wayne,Blunt Blowin,29-Aug-11,Rap,"Dvlp, Andrew canton, Lil wayne",
Mac Miller,Donald Trump,8-Feb-11,"Producer,Rap","Sap, Sufjan stevens, Mac miller",
V.I.C.,Wobble,15-Jul-08,Rap,,
Skrillex,First Of The Year,7-Jun-11,"Dance,Electro,Dubstep,Electronic,Pop",Skrillex,
Roscoe Dash,Good Good Night,4-Oct-11,Rap,Roscoe dash,
Adam Lambert,Better Than I Know Myself,14-May-12,"Pop,Glam Rock,Pop-Rock,Ballad","Cirkut, Ammo, Claude kelly, Dr luke",
Justin Bieber,Drummer Boy,1-Nov-11,"Christmas,Rap,Canada,Pop","Katherine kennicott davis, Busta rhymes, Justin bieber, Harry simeone, Henry onorati",Busta Rhymes
The Script,Nothing,19-Nov-10,"Ireland,Rock","Andrew frampton, Steve kipner, Danny odonoghue, Mark sheehan",
Mac Miller,Knock Knock,13-Aug-10,Rap,Mac miller,
Miranda Lambert,Baggage Claim,22-Aug-11,Country,"Miranda lambert, Luke laird, Natalie hemby",
Glee Cast,We Are Young,15-May-12,Pop,"Jeff bhasker, Andrew dost, Nate ruess, Jack antonoff",
Dev,In The Dark,,Rap,"Dev, Campa, Kshmr",
T,Bang Bang Pow Pow,6-Dec-11,"R&;B,Rap","Mack maine, T pain, Lil wayne, T minus",
Glee Cast,Do They Know It's Christmas?,15-Nov-11,"Christmas,Soundtrack,Screen,Cover,Pop","Midge ure, Bob geldof",
Thompson Square,I Got You,9-May-11,Country,"Keifer thompson, Shawna thompson, Paul jenkins, Jason sellers",
Romeo Santos,Promise,2-Sep-11,"Pop,Bachata,Latin Pop,Latin Music,En Espa\xc3\xb1ol","Romeo santos, Pierre medor, Rico love",Usher
Michael Buble,All I Want For Christmas Is You,16-Nov-11,"Cover,Christmas,Holiday,Jazz,Pop","Walter afanasieff, Mariah carey",
Glee Cast,Survivor / I Will Survive,,Pop,,
Glee Cast,Man In The Mirror,6-Dec-11,Pop,"Glen ballard, Siedah garrett",
Nicki Minaj,Roman In Moscow,2-Dec-11,Rap,Nicki minaj,
Taylor Swift,Sparks Fly,25-Oct-10,"Pop-Rock,Country,Pop",Taylor swift,
Glee Cast,ABC,6-Dec-11,"Screen,Soundtrack,Pop","Deke richards, Alphonso mizell, Freddie perren, Berry gordy",
Glee Cast,Red Solo Cup,6-Dec-11,Pop,"Brett warren, Brad warren, Jim beavers, Brett beavers",
Kelly Clarkson,I'll Be Home For Christmas,25-Oct-13,"Christmas,Pop","Walter kent, Kim gannon, Buck ram",
Ace Hood,Body 2 Body,26-Jul-11,"R&;B,Rap","Erik rook ortiz, Kevin colione crowe, Chris brown, Kevin cossom, Ace hood",Chris Brown
Glee Cast,Perfect,6-Dec-11,Pop,"Shellback, Max martin, P nk",
Glee Cast,Girls Just Want To Have Fun,6-Dec-11,"Screen,Soundtrack,Pop",Robert hazard,
Glee Cast,I Kissed A Girl,6-Dec-11,Pop,"Cathy dennis, Max martin, Dr luke, Katy perry",
Big Sean,Marvin & Chardonnay,28-Jun-11,Rap,"Big sean, Kanye west, Roscoe dash, Andrew pop wansel","Kanye West, Roscoe Dash"
Glee Cast,Rumour Has It / Someone Like You,6-Dec-11,Pop,"Dan wilson, Ryan tedder, Adele",
Glee Cast,I'm The Only One,6-Dec-11,Pop,Melissa etheridge,
Glee Cast,Constant Craving,6-Dec-11,"Screen,Soundtrack,Pop","Ben mink, Kd lang",
Enrique Iglesias,I Like How It Feels,10-Sep-11,Pop,"Adam baptiste, Alex p, Pitbull, Redone, Enrique iglesias","Pitbull, The WAV.s"
Michael Buble,It's Beginning To Look A Lot Like Christmas,18-Nov-12,"Holiday,Christmas,Jazz,Pop",Meredith willson,
Jay Z Kanye West,Otis,8-Aug-11,"Rap,Producer","Otis redding, Kirk robinson, Reg connelly, Harry m woods, Joseph roach, James brown, Jimmy campbell, Kanye west, Jay z",Otis Redding
OneRepublic,Good Life,17-Nov-09,"Pop,Adult Alternative,Adult Contemporary,Pop-Rock,Rock","Ryan tedder, Brent kutzle, Noel zancanella, Eddie fisher",
The Band Perry,If I Die Young,7-May-10,Country,Kimberly perry,
Alexandra Stan,Mr. Saxobeat,12-Sep-10,"Dance-Pop,Eurodance,Dance,Pop","Andrei nemirschi, Marcel prodan",
Jerrod Niemann,One More Drinkin' Song,1-Jun-11,"Rock,Country","Richie brown, Jerrod niemann",
Rihanna,Cheers,2-Aug-11,"R&;B,Pop","Mayne zane, Scott spock, Avril lavigne, Graham edwards, Lauren christy, Chris ivery, Corey gibson, Lp, Stacy barthe, Andrew harr",
Nickelback,Lullaby,24-Feb-12,Rock,"Rodney clawson, Chris tompkins, Craig wiseman, Chad kroeger",
Pitbull,Rain Over Me,11-Jul-11,"Pop,Rap","Rachid aziz, Aj jannusi, Bilal the chef hajji, Marc anthony, Redone, Pitbull",Marc Anthony
Darius Rucker,I Got Nothin',,"Country,Rock",,
Mana,El Verdadero Amor Perdona,,"En Espa\xc3\xb1ol,Pop",,Prince Royce
Eli Young Band,Crazy Girl,7-Mar-11,"Canada,Country","Liz rose, Lee brice",
Brantley Gilbert,Country Must Be Country Wide,16-Mar-10,"Country,Rock",,
Taylor Swift,If This Was A Movie,25-Oct-10,"Country,Pop","Martin johnson, Taylor swift",
Drake,Hate Sleeping Alone,15-Nov-11,"R&;B,Canada,Rap","40, Drake, Anthony palman, Trey songz",
Glee Cast,You And I / You And I,,Pop,"Frank myers, Lady gaga",
Glee Cast,I Can't Go For That / You Make My Dreams,15-Nov-11,Pop,"Hall and oates, Sara allen",
Britney Spears,Criminal,30-Sep-11,Pop,"Shellback, Max martin, Tiffany amber",
Glee Cast,Hit Me With Your Best Shot / One Way Or Another,,Pop,,
Drake,We'll Be Fine,15-Nov-11,"Canada,Rap","Birdman, T minus, 40, Drake, Anthony palman",Birdman
Blake Shelton,Footloose,8-Nov-11,"Country,Rock","Dean pitchford, Kenny loggins",
Drake,Shot For Me,15-Nov-11,"R&;B,Canada,Rap","40, Drake, The weeknd, Rainer millar blanchaer",
Taylor Swift,Superman,25-Oct-10,"Country,Pop",Taylor swift,
Bad Meets Evil,Lighters,5-Jul-11,"Pop,Rap","Philip lawrence, Ari levine, Battle royale, Bruno mars, Royce da 59, Eminem",Bruno Mars
Matt Nathanson,Run,21-Jun-11,"Rock,Pop,Country","Matt nathanson, Jennifer nettles, Kristian bush",Sugarland
Mac Miller,Smile Back,23-Sep-11,"Trap,Conscious Hip-Hop,Rap",Mac miller,
Glee Cast,Uptown Girl,6-Dec-12,Pop,Billy joel,
Faith Hill,Come Home,9-Nov-11,"Country,Rock",Ryan tedder,
Ronnie Dunn,Cost Of Livin',7-Jun-11,Country,"Ronnie dunn, Phillip coleman",
Chris Brown,Wet The Bed,18-Mar-11,"DMV,R&;B,Rap","Lonny bereal, Ludacris, Andre merritt, Sevyn streeter, Kevin mccall, The underdogs producers, Steven kubie, Chris brown",Ludacris
George Strait,Here For A Good Time,,"Country,Rock",,
Red Hot Chili Peppers,The Adventures Of Rain Dance Maggie,18-Jul-11,Rock,"Josh klinghoffer, Chad smith, Flea, Anthony kiedis",
Taylor Swift,Haunted,25-Oct-10,"Pop-Rock,Country,Pop",Taylor swift,
Keith Urban,Long Hot Summer,27-Jun-11,Country,"Keith urban, Richard marx",
Lil Wayne,How To Love,31-May-11,"R&;B,Pop,Rap","Mack maine, Lil wayne",
Katy Perry,Last Friday Night,24-Aug-10,"Dance-Pop,Pop","Katy perry, Dr luke, Bonnie mckee, Max martin",
Hot Chelle Rae,Tonight Tonight,15-Mar-11,"Alternative Rock,Pop-Rock,Dance-Pop,Pop,Rock","Ryan follese, Nash overstreet, Emanuel kiriakou, Evan bogart, Lindy robbins",
Rodney Atkins,Take A Back Road,25-Apr-11,"Country,Rock","Luke laird, Rhett akins",
Glee Cast,Last Friday Night,6-Dec-11,Pop,"Bonnie mckee, Max martin, Dr luke, Katy perry",
New Boyz,Better With The Lights Off,2-Aug-11,"R&;B,Rap","Chris brown, New boyz",Chris Brown
Wale,Ambition,1-Nov-11,Rap,"Meek mill, Rick ross, Wale","Meek Mill, Rick Ross"
Mindless Behavior,Mrs. Right,28-Jun-11,Rap,"Diggy, Mindless behavior",Diggy
Bow Wow,Sweat,24-Oct-11,Rap,"Detail, Lil wayne, Bow wow, Maejor",Lil Wayne
Kaskade,Lessons In Love,25-Oct-11,Pop,"Tyler glenn, Kaskade, John hancock, Finn bjarnson, Elaine bradley, Chris allen, Branden campbell",Neon Trees
Lloyd,Dedication To My Ex,9-Aug-11,"R&;B,Rap","D smith, Lil wayne, Polow da don, Andre 3000","Andre 3000, Lil Wayne"
Britney Spears,I Wanna Go,13-Jun-11,"Hi-Nrg,Dance-Pop,Pop","Savan kotecha, Max martin, Shellback",
DJ Khaled,I'm On One,20-May-11,"Motown,Producer,Canada,Rap","T minus, Lil wayne, Rick ross, Drake","Drake, Rick Ross, Lil Wayne"
Lady Gaga,The Edge Of Glory,9-May-11,"Electronic Rock,Electronic,Electro-Pop,Disco,Dance-Pop,Pop","Dj white shadow, Fernando garibay, Lady gaga",
Toby Keith,Made In America,,"Country,Rock",,
Sean Paul,Got 2 Luv U,19-Jul-11,"Pop,Rap","Stargate, Ryan tedder, Sean paul",Alexis Jordan
Demi Lovato,Skyscraper,12-Jul-11,"Ballad,Pop","Lindy robbins, Kerli, Toby gad",
Wale,Focused,18-Oct-11,Rap,"Kid cudi, Wale",Kid Cudi
Miguel,Quickie,30-Nov-10,"Soul,Soul Pop,Funk,R&;B","Miguel, The fisticuffs",
Andy Grammer,Keep Your Head Up,14-Jun-11,"Rock,Pop","Aijia grammer, Andy grammer",
Beyonce,Best Thing I Never Had,1-Jun-11,"Soul,Neo Soul,Soul Pop,R&;B,Pop","Antonio dixon, Beyonce, Babyface, S1, Shea taylor",
Trace Adkins,Just Fishin',21-Mar-11,Country,"Ed hill, Monty criswell, Casey beathard",
China Anne McClain,Calling All The Monsters,20-Sep-11,"Disney,Soundtrack,Pop","Twin joakim persson x niclas molinder, Charlie mason, Johan alkenas, China anne mcclain",
Tyga,Still Got It,4-Oct-11,Rap,"Supa dups, Tyga, Drake",Drake
Jennifer Lopez,Papi,11-Mar-14,"Pop,Rap","Detail, Dre moon, French montana, Jennifer lopez, Tinashe",
Evanescence,Lost In Paradise,9-Aug-11,"Ballad,Piano,Rock",Amy lee,
Matt Nathanson,Faster,,Pop,"Mark weinberg, Matt nathanson",
Jake Owen,Barefoot Blue Jean Night,30-Aug-11,"Country,R&;B,Rock","Terry sawchuk, Dylan altman, Eric paslay",
Jason Aldean,Dirt Road Anthem,4-Apr-11,"Country,Rock","Brantley gilbert, Colt ford",
Glee Cast,Fix You,6-Dec-11,"Screen,Soundtrack,Pop","Will champion, Guy berryman, Jonny buckland, Chris martin",
Taio Cruz,Hangover,4-Oct-11,Rap,"Flo rida, Taio cruz",Flo Rida
T.I.,I'm Flexin',4-Oct-11,Rap,"Big krit, Ti",Big K.R.I.T.
Kenny Chesney,You And Tequila,31-May-11,"Country,Rock","Deana carter, Matraca berg",Grace Potter
Glee Cast,Run The World,6-Dec-11,Pop,"Afrojack, Adidja palmer, David taylor, Diplo, Beyonce, The dream",
Iyaz,Pretty Girls,,"R&;B,Rap",,Travie McCoy
Steve Holy,Love Don't Run,,Pop,,
Wiz Khalifa,No Sleep,22-Mar-11,Rap,"Benny blanco, Wiz khalifa",
Kelly Rowland,Motivation,8-Apr-11,"R&;B,Rap","Jim jonsin, Rico love, Danny morris, Lil wayne",Lil Wayne
Glee Cast,Somewhere,6-Dec-11,Pop,"Stephen schwartz, Leonard bernstein",
Jason Derulo,Fight For You,31-Oct-11,"Pop,R&;B","Jeff porcaro, Jason derulo, Stevie hoang, David paich",
Blink,After Midnight,6-Sep-11,"Pop-Rock,Pop,Punk Rock,Pop-Punk,Rock","Tom delonge, Mark hoppus, Travis barker",
Coldplay,Every Teardrop Is A Waterfall,3-Jun-11,"UK,Electronic,Electronic Rock,Alternative Pop,Alternative,Alternative Rock,Pop-Rock,Pop,Rock","Chris martin, Will champion, Jonny buckland, Guy berryman, Peter allen, Adrienne anderson",
Craig Campbell,Fish,,Pop,,
Kreayshawn,Gucci Gucci,14-Jun-11,"West Coast,Rap","Dj two stacks, Speak, Kreayshawn",
Foo Fighters,Walk,17-Jun-11,"Post-Grunge,Grunge,Alternative Rock,Indie Rock,Hard Rock,Rock","Dave grohl, Taylor hawkins, Nate mendel, Chris shiflett, Pat smear",
Tyga,Far Away,,Rap,"Jess jackson, Tyga",Chris Richardson
Zac Brown Band,Knee Deep,21-Sep-10,"Country,Rock","Wyatt durrette, Jeffrey steele, Cory bowles, Zac brown",Jimmy Buffett
Glee Cast,It's Not Unusual,2-Dec-11,Pop,"Les reed orchestra, Gordon mills jr",
Glee Cast,You Can't Stop The Beat,6-Dec-12,"TV,Cover,Pop","Scott wittman, Marc shaiman",
Birdman,Y.U. Mad,13-Sep-11,Rap,"Timbaland, Mad max, Lil wayne, Nicki minaj","Nicki Minaj, Lil Wayne"
Demi Lovato,Fix A Heart,20-Sep-11,"R&;B,Pop","Priscilla renea, Emanuel kiriakou",
Glee Cast,We Got The Beat,20-Sep-11,"Soundtrack,Cover,Pop",Charlotte caffey,
Billy Currington,Love Done Gone,21-Sep-10,"Country,Rock",,
Demi Lovato,Unbroken,20-Sep-11,"Pop,R&;B","Leah haywood, Demi lovato, Daniel james",
