Artists,Name,Date,Genre,Writing.Credits,Features
P!nk,Walk Me Home,20-Feb-19,Pop,"P nk, Scott harris, Nate ruess",
Maren Morris,GIRL,17-Jan-19,"Pop,Country,Pop Country","Maren morris, Sarah aarons, Greg kurstin",
5 Seconds Of Summer,Easier,23-May-19,"Australia,Pop","Watt, Ali tamposi, Louis bell, Charlie puth, Michael clifford, Calum hood, Luke hemmings, Ashton irwin, Ryan tedder",
"Cardi B, Bruno Mars",Please Me,15-Feb-19,"Rap,East Coast,West Coast,Soul Pop,R&;B,Pop","Cardi b, Bruno mars, James fauntleroy, Jeremy reeves, Jonathan yip, Ray charles mccullough ii, Ray romulus",
Eric Church,Some Of It,5-Oct-18,Country,"Eric church, Clint daniels, Jeff hyde, Bobby pinson",
Dan + Shay,All To Myself,3-May-18,Country,"Shay mooney, Nicolle galyon, Jordan reynolds, Dan smyers",
"Bad Bunny, Tainy",Callaita,31-May-19,"Pop,Latin Pop,Dancehall,Reggaeton,Latin Music,Latin Urban,Puerto Rico,En Espa\xc3\xb1ol",Bad bunny,
Meek Mill,24/7,30-Nov-18,"East Coast,UK,R&;B,Rap","Robert waller, Beyonce, Scott storch, Nija, Pro logic, Oz, Ey, Austin powerz, Ella mai, Meek mill",Ella Mai
Ali Gatie,It's You,14-Jun-19,R&;B,Ali gatie,
Jason Aldean,Rearview Town,16-Mar-18,Country,"Neil thrasher, Bobby pinson, Kelley lovelace",
Lil Baby,Out The Mud,21-Jun-19,"Atlanta,Trap,Rap","Lil baby, Future",Future
"The Chainsmokers, Bebe Rexha",Call You Mine,31-May-19,"Electronic Pop,EDM,Electro House,Electro,Electro-Pop,Electronic,Dance-Pop,Dance,Pop","Alex pall, Tony ann, Andrew taggart, Watt, Ali tamposi, Steve mac, Norman whitfield",
"Summer Walker, Drake",Girls Need Love,27-Feb-19,"Atlanta,Canada,Remix,R&;B","Arsenio archer, Drake, Summer walker",
"Lunay, Daddy Yankee, Bad Bunny",Soltera,10-May-19,"Reggaeton,Latin Music,Latin Urban,Puerto Rico,Latin Pop,En Espa\xc3\xb1ol,Pop","Georg the mustache, Lunay, Daddy yankee, Bad bunny",
Florida Georgia Line,Talk You Out Of It,6-Jul-18,Country,"Hardy, Jameson rodgers, Hunter phelps, Alysa vanderheym",
SHAED,Trampoline,18-May-18,Pop,"Alex mendoza, Shaed",
"Yella Beezy, Gucci Mane, Quavo",Bacc At It Again,15-Mar-19,"Hip-Hop,Rap","Quay global, Darius roberts, Gucci mane, Quavo, Yella beezy",
Beyonce,Before I Let Go,17-Apr-19,"Bounce,Cover,Soundtrack,Pop,Soul Pop,Soul,Funk,R&;B","Beyonce, Jerome temple, Larry blackmon, Tomi jenkins, Frankie beverly",
DJ Khaled,Wish Wish,17-May-19,"Atlanta,Trap,Rap","Tay keith, Pardison fontaine, 21 savage, Cardi b, Dj khaled","Cardi B, 21 Savage"
Chris Young,Raised On Country,4-Jan-19,Country,"Corey crowder, Cary barlowe, Chris young",
Travis Scott,Wake Up,3-Aug-18,"Trap,R&;B,Canada,Rap","Adam feeney music, Nima jahanbin, Paimon jahanbin, Rupert thomas, Frank dukes, Mike dean, The weeknd, Travis scott",
Sech,Otro Trago,19-Apr-19,"Dancehall,Reggaeton,Latin Music,Latin Urban,En Espa\xc3\xb1ol,Puerto Rico,Latin Pop,Pop","Sech, Darell",Darell
Chase Rice,Eyes On You,13-Oct-17,Country,"Chase rice, Ashley gorley, Chris destefano",
Bryce Vine,La La Land,1-Mar-19,"Pop,Rap,Hip-Hop,R&;B","Sidney swift, Ryan baharloo, Michael onufrak, Desmond barnes, Alexander goodwin, Simon says, Sir nolan, Yg, J p clark, Bryce vine",YG
Billie Eilish,Ocean Eyes,19-Nov-15,"Alternative Dance,Synth-Pop,Ambient,Indie Pop,Alternative Pop,Alternative,Pop","Billie eilish, Finneas",
Marshmello,Here With Me,8-Mar-19,"Progressive House,House,Electro House,Electronic Pop,Alternative Pop,Electronic,Dubstep,Dance,Electro,Electronica,Electro-Pop,EDM,Synth-Pop,Pop","Steve mac, Martin doherty, Marshmello, Lauren mayberry, Iain cook",CHVRCHES
Brett Eldredge,Love Someone,18-Jun-18,Country,"Heather morgan, Ross copperman, Brett eldredge",
Lil Uzi Vert,Sanguine Paradise,9-Apr-19,"East Coast,Trap,Rap","Brandon finessin, Oogie mane, Lil uzi vert",
Eli Young Band,Love Ain't,25-May-18,Country,"Ross copperman, Ashley gorley, Shane mcanally",
